Line;File;TrnID;Time;Min;ON;OpThreshold;ClksThisMin;SpClass;Qn;ICIgood;tWUTrisk;Marked;Start;NofClx;nActualClx;medianKHz;avEndF;nRisingIPIs;avSPL;avPkAt;avBWx8;TrDur_us;AvPRF;nICIrising;MinICI_us;midpointICI;MaxICI_us;ClkNofMinICI;ClkNofMaxICI;NofClstrs;avClstrNx8;avclF0;avclF1;avPkIPI;BeforeIPIratio;PreIPIratio;Post1IPIratio;Post2IPIratio;EndIPIratio;EncSpN;Timedrift;Time_adj;Day;Time_CET;HP;Time_UTC
348;GEast_20220711_000B_FPOD6899_u_PAL file0 PART 15d 17h 20m.FP3;1;12/07/22 16:57;64446657;TRUE;2;1399;NBHF;High;yes;0;FALSE;1844666;25;25;126;128;13;34;4;15;102880;243;1;645;823;1356;25;22;25;8;0;0;32;2.04;0.97;1.01;1.01;1.03;n/a;0.672727272727276;2022-07-12 16:57:09.896057;193;NA;0;2022-07-12 14:57:09.22333
349;GEast_20220711_000B_FPOD6899_u_PAL file0 PART 15d 17h 20m.FP3;7;12/07/22 16:57;64446657;TRUE;2;1399;NBHF;Mod;yes;0;FALSE;6897668;8;8;125;128;4;36;4;15;8456;946;2;208;211;217;8;7;8;8;0;0;32;1.95;0.98;1;0.99;1.02;n/a;0.672727272727276;2022-07-12 16:57:35.161067;193;NA;0;2022-07-12 14:57:34.48834
350;GEast_20220711_000B_FPOD6899_u_PAL file0 PART 15d 17h 20m.FP3;8;12/07/22 16:57;64446657;TRUE;2;1399;NBHF;Mod;yes;0;FALSE;6899993;32;32;125;126;28;38;4;8;33298;961;15;201;415;421;32;9;32;8;0;0;31;2.1;1.01;0.97;0.97;0.98;n/a;0.672727272727276;2022-07-12 16:57:35.172692;193;NA;0;2022-07-12 14:57:34.499965
351;GEast_20220711_000B_FPOD6899_u_PAL file0 PART 15d 17h 20m.FP3;9;12/07/22 16:57;64446657;TRUE;2;1399;NBHF;Mod;yes;0;FALSE;6908102;8;8;126;127;7;36;4;15;10526;760;1;202;204;206;8;5;8;8;0;0;32;0;0.97;1.01;1;1.02;n/a;0.672727272727276;2022-07-12 16:57:35.213237;193;NA;0;2022-07-12 14:57:34.54051
358;GEast_20220711_000B_FPOD6899_u_PAL file0 PART 15d 17h 20m.FP3;1;12/07/22 17:00;64446660;TRUE;1;5036;NBHF;Mod;yes;0;FALSE;3190707;8;8;127;129;5;38;5;15;11379;703;1;278;286;289;7;2;8;8;0;0;31;1.97;0.99;0.99;0.99;1;n/a;0.672727272727276;2022-07-12 17:00:16.626262;193;NA;0;2022-07-12 15:00:15.953535
359;GEast_20220711_000B_FPOD6899_u_PAL file0 PART 15d 17h 20m.FP3;7;12/07/22 17:00;64446660;TRUE;1;5036;NBHF;Mod;yes;0;FALSE;3279821;12;12;126;128;9;38;4;15;14814;810;3;207;207;422;4;9;12;8;0;0;31;2.02;1.07;0.97;0.98;0.99;n/a;0.672727272727276;2022-07-12 17:00:17.071832;193;NA;0;2022-07-12 15:00:16.399105
360;GEast_20220711_000B_FPOD6899_u_PAL file0 PART 15d 17h 20m.FP3;8;12/07/22 17:00;64446660;TRUE;1;5036;NBHF;Mod;yes;0;FALSE;3283203;8;8;127;128;4;38;5;15;8359;957;1;206;209;212;8;7;8;8;0;0;32;1.96;0.95;1;0.99;1.02;n/a;0.672727272727276;2022-07-12 17:00:17.088742;193;NA;0;2022-07-12 15:00:16.416015
361;GEast_20220711_000B_FPOD6899_u_PAL file0 PART 15d 17h 20m.FP3;15;12/07/22 17:00;64446660;TRUE;1;5036;NBHF;High;yes;0;FALSE;3866416;12;43;126;130;13;36;5;15;14851;808;16;239;247;1457;22;36;43;8;0;0;32;2.06;0.99;1.01;1.01;1.04;n/a;0.672727272727276;2022-07-12 17:00:20.004807;193;NA;0;2022-07-12 15:00:19.33208
362;GEast_20220711_000B_FPOD6899_u_PAL file0 PART 15d 17h 20m.FP3;16;12/07/22 17:00;64446660;TRUE;1;5036;NBHF;Mod;yes;0;FALSE;3881536;38;44;126;128;18;38;6;15;47029;808;17;229;239;1166;13;39;44;8;0;0;32;2.16;0.98;1.01;1.01;1.02;n/a;0.672727272727276;2022-07-12 17:00:20.080407;193;NA;0;2022-07-12 15:00:19.40768
363;GEast_20220711_000B_FPOD6899_u_PAL file0 PART 15d 17h 20m.FP3;17;12/07/22 17:00;64446660;TRUE;1;5036;NBHF;Mod;yes;0;FALSE;3903813;11;19;126;128;5;36;4;15;12318;893;6;216;223;446;13;9;19;8;0;0;32;2.16;1.05;1.02;1.01;1.03;n/a;0.672727272727276;2022-07-12 17:00:20.191792;193;NA;0;2022-07-12 15:00:19.519065
401;GEast_20220711_000B_FPOD6899_u_PAL file0 PART 15d 17h 20m.FP3;2;12/07/22 17:29;64446689;TRUE;2;261;NBHF;Mod;yes;0;FALSE;1067517;9;9;126;127;4;40;6;15;39473;228;0;805;910;967;9;2;9;8;0;0;32;1.94;1.01;1;1.02;1.02;n/a;0.672727272727276;2022-07-12 17:29:06.010312;193;NA;0;2022-07-12 15:29:05.337585
402;GEast_20220711_000B_FPOD6899_u_PAL file0 PART 15d 17h 20m.FP3;3;12/07/22 17:29;64446689;TRUE;2;261;NBHF;Mod;yes;0;FALSE;1087460;9;9;126;128;3;42;6;15;25714;350;2;548;585;1148;9;5;9;8;0;0;32;2.42;1;1;1.02;1.02;n/a;0.672727272727276;2022-07-12 17:29:06.110027;193;NA;0;2022-07-12 15:29:05.4373
457;GEast_20220711_000B_FPOD6899_u_PAL file0 PART 15d 17h 20m.FP3;15;12/07/22 18:10;64446730;TRUE;1;4584;NBHF;High;yes;0;FALSE;4706524;621;621;127;131;481;62;7;3;907894;684;236;179;243;1271;518;2;621;8;0;0;32;3.53;0.97;1;1.02;1.04;n/a;0.672727272727276;2022-07-12 18:10:24.205347;193;NA;0;2022-07-12 16:10:23.53262
544;GEast_20220711_000B_FPOD6899_u_PAL file0 PART 15d 17h 20m.FP3;1;12/07/22 18:30;64446750;TRUE;1;4562;NBHF;Mod;no;0;FALSE;1584919;8;8;125;125;5;26;4;15;30418;263;2;724;764;801;8;2;8;8;0;0;31;3.02;1.01;0.98;0.98;0.97;n/a;0.672727272727276;2022-07-12 18:30:08.597322;193;NA;0;2022-07-12 16:30:07.924595
