Line;File;TrnID;Time;Min;ON;OpThreshold;ClksThisMin;SpClass;Qn;ICIgood;tWUTrisk;Marked;Start;NofClx;nActualClx;medianKHz;avEndF;nRisingIPIs;avSPL;avPkAt;avBWx8;TrDur_us;AvPRF;nICIrising;MinICI_us;midpointICI;MaxICI_us;ClkNofMinICI;ClkNofMaxICI;NofClstrs;avClstrNx8;avclF0;avclF1;avPkIPI;BeforeIPIratio;PreIPIratio;Post1IPIratio;Post2IPIratio;EndIPIratio;EncSpN;Day;Timedrift;Time_adj;Time_CET;HP;Time_UTC
593;S60--_20220623_000A_FPOD6890_u_PAL file0 PART 68d 1h 1m.FP3;1;12/07/22 16:45;64446645;TRUE;2;695;NBHF;Mod;yes;0;FALSE;2080564;10;10;127;127;0;34;5;15;61349;163;0;881;1046;1271;10;2;10;8;0;0;32;1.94;0.98;1;0;1.01;n/a;193;-0.520799445471349;2022-07-12 16:45:09.882021;NA;0;2022-07-12 14:45:10.40282
594;S60--_20220623_000A_FPOD6890_u_PAL file0 PART 68d 1h 1m.FP3;7;12/07/22 16:45;64446645;TRUE;2;695;NBHF;Mod;yes;0;FALSE;2237921;9;9;126;128;1;40;6;15;12032;748;3;209;211;221;8;3;9;8;0;0;31;2.02;1.01;0.96;0.97;0.99;n/a;193;-0.520799445471349;2022-07-12 16:45:10.668806;NA;0;2022-07-12 14:45:11.189605
595;S60--_20220623_000A_FPOD6890_u_PAL file0 PART 68d 1h 1m.FP3;9;12/07/22 16:45;64446645;TRUE;2;695;NBHF;Mod;yes;0;FALSE;2255581;10;33;127;129;12;40;5;15;10020;998;13;193;199;404;27;11;33;8;0;0;32;2.31;0.98;1.01;1;1.03;n/a;193;-0.520799445471349;2022-07-12 16:45:10.757106;NA;0;2022-07-12 14:45:11.277905
596;S60--_20220623_000A_FPOD6890_u_PAL file0 PART 68d 1h 1m.FP3;10;12/07/22 16:45;64446645;TRUE;2;695;NBHF;Mod;yes;0;FALSE;5791606;10;10;125;131;1;36;3;15;51813;193;0;888;1048;1272;10;2;10;8;0;0;31;2.02;1.02;0.97;0.97;1.01;n/a;193;-0.520799445471349;2022-07-12 16:45:28.437231;NA;0;2022-07-12 14:45:28.95803
597;S60--_20220623_000A_FPOD6890_u_PAL file0 PART 68d 1h 1m.FP3;11;12/07/22 16:45;64446645;TRUE;2;695;NBHF;Mod;yes;0;FALSE;5805060;19;36;125;129;8;34;4;15;76923;247;5;590;684;4509;19;20;36;8;0;0;31;2.05;1;0.98;0.95;1;n/a;193;-0.520799445471349;2022-07-12 16:45:28.504501;NA;0;2022-07-12 14:45:29.0253
598;S60--_20220623_000A_FPOD6890_u_PAL file0 PART 68d 1h 1m.FP3;12;12/07/22 16:45;64446645;TRUE;2;695;NBHF;Mod;yes;0;FALSE;5834297;8;8;126;129;2;38;4;15;34632;231;0;834;878;904;8;2;8;8;0;0;31;2.02;0.99;0.96;0.97;1;n/a;193;-0.520799445471349;2022-07-12 16:45:28.650686;NA;0;2022-07-12 14:45:29.171485
599;S60--_20220623_000A_FPOD6890_u_PAL file0 PART 68d 1h 1m.FP3;13;12/07/22 16:45;64446645;TRUE;2;695;NBHF;Mod;yes;0;FALSE;5857406;7;7;125;129;2;38;5;15;21472;326;0;599;625;629;7;2;7;8;0;0;31;2.02;1;0.96;0.94;1;n/a;193;-0.520799445471349;2022-07-12 16:45:28.766231;NA;0;2022-07-12 14:45:29.28703
600;S60--_20220623_000A_FPOD6890_u_PAL file0 PART 68d 1h 1m.FP3;15;12/07/22 16:45;64446645;TRUE;2;695;NBHF;Mod;yes;0;FALSE;5867829;8;8;126;129;2;38;5;15;10309;776;3;214;268;268;2;4;8;8;0;0;32;1.97;0.99;1;1;1.03;n/a;193;-0.520799445471349;2022-07-12 16:45:28.818346;NA;0;2022-07-12 14:45:29.339145
601;S60--_20220623_000A_FPOD6890_u_PAL file0 PART 68d 1h 1m.FP3;17;12/07/22 16:45;64446645;TRUE;2;695;NBHF;Mod;yes;0;FALSE;5882411;13;13;126;129;4;38;5;15;19431;669;5;251;251;261;6;4;13;8;0;0;31;2.27;1.01;0.98;0.95;1;n/a;193;-0.520799445471349;2022-07-12 16:45:28.891256;NA;0;2022-07-12 14:45:29.412055
602;S60--_20220623_000A_FPOD6890_u_PAL file0 PART 68d 1h 1m.FP3;20;12/07/22 16:45;64446645;TRUE;2;695;NBHF;Mod;yes;0;FALSE;5899793;14;14;127;128;3;36;4;15;17199;814;5;242;248;494;10;11;14;8;0;0;32;1.93;1.05;1;1.02;1.02;n/a;193;-0.520799445471349;2022-07-12 16:45:28.978166;NA;0;2022-07-12 14:45:29.498965
