"Line";"File";"TrnID";"Time";"Min";"ON";"OpThreshold";"ClksThisMin";"SpClass";"Qn";"ICIgood";"tWUTrisk";"Marked";"Start";"NofClx";"nActualClx";"medianKHz";"avEndF";"nRisingIPIs";"avSPL";"avPkAt";"avBWx8";"TrDur_us";"AvPRF";"nICIrising";"MinICI_us";"midpointICI";"MaxICI_us";"ClkNofMinICI";"ClkNofMaxICI";"NofClstrs";"avClstrNx8";"avclF0";"avclF1";"avPkIPI";"BeforeIPIratio";"PreIPIratio";"Post1IPIratio";"Post2IPIratio";"EndIPIratio";"EncSpN";"Day";"Timedrift";"Time_adj";"Time_CET";"HP";"Time_UTC"
597;"N60--_20220623_000A_FPOD6889_u_PAL file0 PART 66d 5h 54m.FP3";1;2022-07-12 16:54:00;64446654;"True";1;1354;"NBHF";"Mod";"no";0;"False";3159241;13;13;125;130;7;27;6;15;50980;255;5;730;742;988;13;9;13;8;0;0;32;2.6;1;1;1.02;1.04;"n/a";193;-0.667814232902034;2022-07-12 16:54:15.128391;NA;0;2022-07-12 14:54:15.796205
598;"N60--_20220623_000A_FPOD6889_u_PAL file0 PART 66d 5h 54m.FP3";2;2022-07-12 16:54:00;64446654;"True";1;1354;"NBHF";"Mod";"yes";0;"False";3169628;22;22;126;130;12;27;4;15;26666;825;9;234;234;251;11;12;22;8;0;0;31;2.27;1.03;0.96;1;1;"n/a";193;-0.667814232902034;2022-07-12 16:54:15.180326;NA;0;2022-07-12 14:54:15.84814
599;"N60--_20220623_000A_FPOD6889_u_PAL file0 PART 66d 5h 54m.FP3";3;2022-07-12 16:54:00;64446654;"True";1;1354;"NBHF";"Mod";"yes";0;"False";3177833;51;51;126;131;22;28;6;15;59788;853;20;223;472;478;51;17;51;8;0;0;31;2.43;1.02;0.97;1.01;1.01;"n/a";193;-0.667814232902034;2022-07-12 16:54:15.221351;NA;0;2022-07-12 14:54:15.889165
600;"N60--_20220623_000A_FPOD6889_u_PAL file0 PART 66d 5h 54m.FP3";5;2022-07-12 16:54:00;64446654;"True";1;1354;"NBHF";"High";"yes";0;"False";3206946;38;46;126;130;17;28;5;15;41170;923;21;208;218;429;12;30;46;8;0;0;31;2.28;1.02;0.97;1;1.01;"n/a";193;-0.667814232902034;2022-07-12 16:54:15.366916;NA;0;2022-07-12 14:54:16.03473
601;"N60--_20220623_000A_FPOD6889_u_PAL file0 PART 66d 5h 54m.FP3";6;2022-07-12 16:54:00;64446654;"True";1;1354;"NBHF";"Mod";"yes";0;"False";3217527;26;26;126;130;9;29;6;13;29511;881;10;203;218;218;12;13;26;8;0;0;32;2.22;1;1.01;1.03;1.03;"n/a";193;-0.667814232902034;2022-07-12 16:54:15.419821;NA;0;2022-07-12 14:54:16.087635
602;"N60--_20220623_000A_FPOD6889_u_PAL file0 PART 66d 5h 54m.FP3";7;2022-07-12 16:54:00;64446654;"True";1;1354;"NBHF";"Mod";"yes";0;"False";3223610;9;38;126;132;18;28;5;15;9316;966;13;197;206;421;23;10;38;8;0;0;31;2.51;1.03;0.97;1;1.02;"n/a";193;-0.667814232902034;2022-07-12 16:54:15.450236;NA;0;2022-07-12 14:54:16.11805
603;"N60--_20220623_000A_FPOD6889_u_PAL file0 PART 66d 5h 54m.FP3";8;2022-07-12 16:54:00;64446654;"True";1;1354;"NBHF";"Mod";"yes";0;"False";3235016;8;8;126;129;3;29;5;15;10243;781;3;191;205;205;5;4;8;8;0;0;32;2.45;0.99;1.02;1.04;1.03;"n/a";193;-0.667814232902034;2022-07-12 16:54:15.507266;NA;0;2022-07-12 14:54:16.17508
604;"N60--_20220623_000A_FPOD6889_u_PAL file0 PART 66d 5h 54m.FP3";9;2022-07-12 16:54:00;64446654;"True";1;1354;"NBHF";"Mod";"yes";0;"False";3237006;18;18;126;131;7;28;5;15;17681;1018;6;189;198;206;12;13;18;8;0;0;31;2.28;1.02;0.97;1.01;1.01;"n/a";193;-0.667814232902034;2022-07-12 16:54:15.517216;NA;0;2022-07-12 14:54:16.18503
605;"N60--_20220623_000A_FPOD6889_u_PAL file0 PART 66d 5h 54m.FP3";11;2022-07-12 16:54:00;64446654;"True";1;1354;"NBHF";"Mod";"yes";0;"False";3380673;20;20;125;129;11;28;4;15;88105;227;3;663;841;1556;20;13;20;8;0;0;32;2.14;0.99;1.02;1.01;1.03;"n/a";193;-0.667814232902034;2022-07-12 16:54:16.235551;NA;0;2022-07-12 14:54:16.903365
606;"N60--_20220623_000A_FPOD6889_u_PAL file0 PART 66d 5h 54m.FP3";16;2022-07-12 16:54:00;64446654;"True";1;1354;"NBHF";"Mod";"yes";0;"False";3464268;24;24;128;129;16;30;5;13;30967;775;10;213;260;301;22;2;24;8;0;0;31;2.42;1;0.99;1;1;"n/a";193;-0.667814232902034;2022-07-12 16:54:16.653526;NA;0;2022-07-12 14:54:17.32134
