"Line";"File";"TrnID";"Time";"Min";"ON";"OpThreshold";"ClksThisMin";"SpClass";"Qn";"ICIgood";"tWUTrisk";"Marked";"Start";"NofClx";"nActualClx";"medianKHz";"avEndF";"nRisingIPIs";"avSPL";"avPkAt";"avBWx8";"TrDur_us";"AvPRF";"nICIrising";"MinICI_us";"midpointICI";"MaxICI_us";"ClkNofMinICI";"ClkNofMaxICI";"NofClstrs";"avClstrNx8";"avclF0";"avclF1";"avPkIPI";"BeforeIPIratio";"PreIPIratio";"Post1IPIratio";"Post2IPIratio";"EndIPIratio";"EncSpN";"Day";"Timedrift";"Time_adj";"Time_CET";"HP";"Time_UTC"
235;"S90--_20220623_000A_FPOD6900_u_PAL file0 PART 68d 36m.FP3";2;2022-07-13 15:44:00;64448024;"True";0;1554;"NBHF";"Mod";"no";0;"False";4553684;8;8;125;129;6;38;3;15;666666;12;2;14529;15167;17541;5;2;8;8;0;0;32;0;0.98;1.01;0.97;1.03;"n/a";194;-0.635166358595194;2022-07-13 15:44:22.133254;NA;0;2022-07-13 13:44:22.76842
237;"S90--_20220623_000A_FPOD6900_u_PAL file0 PART 68d 36m.FP3";4;2022-07-13 15:44:00;64448024;"True";0;1554;"NBHF";"Mod";"no";0;"False";9391019;10;10;126;127;8;58;3;15;625000;16;4;10707;11447;15588;7;10;10;8;0;0;32;0;0.98;1.01;0.98;1.02;"n/a";194;-0.635166358595194;2022-07-13 15:44:46.319929;NA;0;2022-07-13 13:44:46.955095
239;"S90--_20220623_000A_FPOD6900_u_PAL file0 PART 68d 36m.FP3";3;2022-07-13 15:45:00;64448025;"True";0;454;"NBHF";"High";"yes";0;"False";1369100;8;8;124;124;8;251;5;4;571428;14;2;12439;16348;16426;7;2;8;23;0;0;32;0;0.99;1;0.98;0.99;"n/a";194;-0.635166358595194;2022-07-13 15:45:06.210334;NA;0;2022-07-13 13:45:06.8455
242;"S90--_20220623_000A_FPOD6900_u_PAL file0 PART 68d 36m.FP3";7;2022-07-13 15:45:00;64448025;"True";0;454;"NBHF";"High";"yes";0;"False";6160487;9;9;125;132;7;276;4;0;219512;41;4;4638;4780;5357;6;9;9;45;0;0;32;3.84;0.98;1.01;1;1.05;"n/a";194;-0.635166358595194;2022-07-13 15:45:30.167269;NA;0;2022-07-13 13:45:30.802435
243;"S90--_20220623_000A_FPOD6900_u_PAL file0 PART 68d 36m.FP3";8;2022-07-13 15:45:00;64448025;"True";0;454;"NBHF";"High";"yes";0;"False";6949440;38;38;121;117;30;170;5;15;950000;40;23;3300;5882;8095;4;22;38;21;0;0;36;2.17;0.88;0.99;1.07;0.97;"n/a";194;-0.635166358595194;2022-07-13 15:45:34.112034;NA;0;2022-07-13 13:45:34.7472
244;"S90--_20220623_000A_FPOD6900_u_PAL file0 PART 68d 36m.FP3";1;2022-07-14 08:09:00;64449009;"True";0;398;"NBHF";"High";"yes";0;"False";9590834;8;8;126;130;8;260;4;7;615384;13;2;12695;17179;17699;7;3;8;55;0;0;32;0;0.98;1;0.99;1.03;"n/a";195;-0.634658040665434;2022-07-14 08:09:47.319512;NA;0;2022-07-14 06:09:47.95417
299;"S90--_20220623_000A_FPOD6900_u_PAL file0 PART 68d 36m.FP3";3;2022-07-20 22:51:00;64458531;"True";0;1877;"NBHF";"Mod";"yes";0;"False";1870055;22;22;126;128;10;24;5;15;24719;890;10;195;202;404;7;10;22;8;0;0;32;2.14;0.97;1;0.98;1.03;"n/a";201;-0.631608133086876;2022-07-20 22:51:08.718667;NA;0;2022-07-20 20:51:09.350275
300;"S90--_20220623_000A_FPOD6900_u_PAL file0 PART 68d 36m.FP3";4;2022-07-20 22:51:00;64458531;"True";0;1877;"NBHF";"Mod";"yes";0;"False";2059309;28;28;126;128;17;25;5;15;63205;443;7;389;424;896;28;8;28;8;0;0;32;2.03;1;1.01;0.99;1.02;"n/a";201;-0.631608133086876;2022-07-20 22:51:09.664937;NA;0;2022-07-20 20:51:10.296545
301;"S90--_20220623_000A_FPOD6900_u_PAL file0 PART 68d 36m.FP3";5;2022-07-20 22:51:00;64458531;"True";0;1877;"NBHF";"Mod";"yes";0;"False";2074751;31;31;127;132;18;27;5;15;55755;556;8;311;343;705;30;12;31;8;0;0;31;2.13;0.99;0.97;0.97;1.02;"n/a";201;-0.631608133086876;2022-07-20 22:51:09.742147;NA;0;2022-07-20 20:51:10.373755
302;"S90--_20220623_000A_FPOD6900_u_PAL file0 PART 68d 36m.FP3";6;2022-07-20 22:51:00;64458531;"True";0;1877;"NBHF";"High";"yes";0;"False";2089567;35;35;127;130;22;25;5;15;49715;704;9;262;266;565;34;6;35;8;0;0;31;2.19;0.98;0.99;0.95;1.01;"n/a";201;-0.631608133086876;2022-07-20 22:51:09.816227;NA;0;2022-07-20 20:51:10.447835
303;"S90--_20220623_000A_FPOD6900_u_PAL file0 PART 68d 36m.FP3";8;2022-07-20 22:51:00;64458531;"True";0;1877;"NBHF";"Mod";"yes";0;"False";2184624;8;8;126;126;5;24;5;15;11851;675;2;205;208;211;2;3;8;8;0;0;31;2.78;0.98;0.96;0.97;0.98;"n/a";201;-0.631608133086876;2022-07-20 22:51:10.291512;NA;0;2022-07-20 20:51:10.92312
304;"S90--_20220623_000A_FPOD6900_u_PAL file0 PART 68d 36m.FP3";9;2022-07-20 22:51:00;64458531;"True";0;1877;"NBHF";"Mod";"yes";0;"False";2188760;12;12;127;126;6;24;5;15;12257;979;4;199;411;413;9;10;12;8;0;0;32;2.26;0.95;1.02;0.98;1.01;"n/a";201;-0.631608133086876;2022-07-20 22:51:10.312192;NA;0;2022-07-20 20:51:10.9438
305;"S90--_20220623_000A_FPOD6900_u_PAL file0 PART 68d 36m.FP3";12;2022-07-20 22:51:00;64458531;"True";0;1877;"NBHF";"High";"yes";0;"False";5748892;210;210;127;129;154;29;6;15;379061;554;66;250;307;1269;208;11;210;8;0;0;31;2.09;0.99;0.97;0.97;1;"n/a";201;-0.631608133086876;2022-07-20 22:51:28.112852;NA;0;2022-07-20 20:51:28.74446
306;"S90--_20220623_000A_FPOD6900_u_PAL file0 PART 68d 36m.FP3";13;2022-07-20 22:51:00;64458531;"True";0;1877;"NBHF";"Mod";"yes";0;"False";6054130;10;10;125;127;5;23;5;15;51813;193;0;884;1046;1271;10;2;10;8;0;0;32;2.57;0.99;1;0.98;1.01;"n/a";201;-0.631608133086876;2022-07-20 22:51:29.639042;NA;0;2022-07-20 20:51:30.27065
307;"S90--_20220623_000A_FPOD6900_u_PAL file0 PART 68d 36m.FP3";14;2022-07-20 22:51:00;64458531;"True";0;1877;"NBHF";"High";"yes";0;"False";6125882;12;12;127;131;10;26;5;15;16574;724;0;268;277;288;12;2;12;8;0;0;32;1.95;0.94;1.02;0.97;1.05;"n/a";201;-0.631608133086876;2022-07-20 22:51:29.997802;NA;0;2022-07-20 20:51:30.62941
308;"S90--_20220623_000A_FPOD6900_u_PAL file0 PART 68d 36m.FP3";15;2022-07-20 22:51:00;64458531;"True";0;1877;"NBHF";"High";"yes";0;"False";6133422;55;55;127;129;41;31;6;14;73627;747;23;251;263;526;45;11;55;8;0;0;32;2.09;0.96;1;1.01;1.03;"n/a";201;-0.631608133086876;2022-07-20 22:51:30.035502;NA;0;2022-07-20 20:51:30.66711
309;"S90--_20220623_000A_FPOD6900_u_PAL file0 PART 68d 36m.FP3";16;2022-07-20 22:51:00;64458531;"True";0;1877;"NBHF";"High";"yes";0;"False";6152019;146;146;127;129;105;42;7;3;178484;818;59;227;245;497;144;34;146;8;0;0;32;1.98;0.99;1.01;1.02;1.03;"n/a";201;-0.631608133086876;2022-07-20 22:51:30.128487;NA;0;2022-07-20 20:51:30.760095
310;"S90--_20220623_000A_FPOD6900_u_PAL file0 PART 68d 36m.FP3";17;2022-07-20 22:51:00;64458531;"True";0;1877;"NBHF";"High";"yes";0;"False";6189379;12;84;127;129;66;38;7;2;13729;874;34;214;228;462;70;13;84;8;0;0;31;2.02;0.99;0.96;0.98;1;"n/a";201;-0.631608133086876;2022-07-20 22:51:30.315287;NA;0;2022-07-20 20:51:30.946895
311;"S90--_20220623_000A_FPOD6900_u_PAL file0 PART 68d 36m.FP3";19;2022-07-20 22:51:00;64458531;"True";0;1877;"NBHF";"Mod";"yes";0;"False";10656108;15;15;127;128;7;24;5;15;47169;318;3;520;580;1114;15;10;15;8;0;0;32;1.96;0.94;1.02;0.99;1.02;"n/a";201;-0.631608133086876;2022-07-20 22:51:52.648932;NA;0;2022-07-20 20:51:53.28054
312;"S90--_20220623_000A_FPOD6900_u_PAL file0 PART 68d 36m.FP3";20;2022-07-20 22:51:00;64458531;"True";0;1877;"NBHF";"Mod";"yes";0;"False";10672540;12;12;127;129;4;23;5;15;31662;379;3;428;447;465;12;2;12;8;0;0;31;1.99;1;0.97;0.96;1;"n/a";201;-0.631608133086876;2022-07-20 22:51:52.731092;NA;0;2022-07-20 20:51:53.3627
313;"S90--_20220623_000A_FPOD6900_u_PAL file0 PART 68d 36m.FP3";21;2022-07-20 22:51:00;64458531;"True";0;1877;"NBHF";"Mod";"yes";0;"False";10684849;8;8;127;128;6;24;5;15;15151;528;1;371;382;753;8;5;8;8;0;0;32;1.96;0.96;1;0.98;1.02;"n/a";201;-0.631608133086876;2022-07-20 22:51:52.792637;NA;0;2022-07-20 20:51:53.424245
314;"S90--_20220623_000A_FPOD6900_u_PAL file0 PART 68d 36m.FP3";23;2022-07-20 22:51:00;64458531;"True";0;1877;"NBHF";"Mod";"yes";0;"False";10712057;8;8;127;130;1;23;6;15;10457;765;2;256;258;267;8;5;8;8;0;0;32;2.12;0.98;0.97;0.97;1.04;"n/a";201;-0.631608133086876;2022-07-20 22:51:52.928677;NA;0;2022-07-20 20:51:53.560285
315;"S90--_20220623_000A_FPOD6900_u_PAL file0 PART 68d 36m.FP3";35;2022-07-20 22:51:00;64458531;"True";0;1877;"NBHF";"Mod";"yes";0;"False";11297977;19;19;126;130;14;26;5;15;57401;331;2;508;563;1074;19;14;19;8;0;0;32;2.34;0.96;1.01;1;1.04;"n/a";201;-0.631608133086876;2022-07-20 22:51:55.858277;NA;0;2022-07-20 20:51:56.489885
316;"S90--_20220623_000A_FPOD6900_u_PAL file0 PART 68d 36m.FP3";36;2022-07-20 22:51:00;64458531;"True";0;1877;"NBHF";"Mod";"yes";0;"False";11313471;20;35;127;130;20;26;5;15;48309;414;5;416;443;2837;20;21;35;8;0;0;31;2.11;0.99;0.99;0.96;1.01;"n/a";201;-0.631608133086876;2022-07-20 22:51:55.935747;NA;0;2022-07-20 20:51:56.567355
